intera,.value,.lower,.upper,.width,.point,.interval,grp
Lepidoptera.A - Diptera.E,-1.54664846,-1.997705361,-1.117593378,0.95,mode,hdi,
Lepidoptera.A - Hymenoptera.A,0.054132414,-0.284336564,0.313023837,0.95,mode,hdi,1
Lepidoptera.A - Hymenoptera.B,-0.75843005,-1.194974018,-0.382989059,0.95,mode,hdi,
Lepidoptera.A - Hymenoptera.C,0.185144153,-0.148970571,0.534463662,0.95,mode,hdi,
Lepidoptera.A - Hymenoptera.D,0.51685885,-0.165734312,1.346752496,0.95,mode,hdi,
Lepidoptera.A - Hymenoptera.E,0.250688949,-0.327653974,0.929542044,0.95,mode,hdi,
Lepidoptera.B - Bee.A,-1.516133631,-2.081376032,-1.066984532,0.95,mode,hdi,
Lepidoptera.B - Bee.B,-1.336473511,-1.922074741,-0.808828356,0.95,mode,hdi,1
Lepidoptera.B - Bee.C,-1.718580984,-2.258529195,-1.238016633,0.95,mode,hdi,
Lepidoptera.B - Bee.D,-1.804535314,-2.459268333,-1.232116361,0.95,mode,hdi,
Lepidoptera.B - Bee.E,-0.734184358,-1.421365981,-0.115225134,0.95,mode,hdi,
Lepidoptera.B - Coleoptera.A,-0.368322449,-0.899453132,0.166098268,0.95,mode,hdi,
Lepidoptera.B - Coleoptera.B,-0.634060055,-1.227691281,-0.031026502,0.95,mode,hdi,1
Lepidoptera.B - Coleoptera.C,-0.830580426,-1.389355244,-0.327339542,0.95,mode,hdi,
Lepidoptera.B - Coleoptera.D,-0.338445407,-1.146436393,0.862085599,0.95,mode,hdi,
Lepidoptera.B - Coleoptera.E,0.423653873,-0.630953556,1.453819799,0.95,mode,hdi,
Lepidoptera.B - Diptera.A,-1.430016232,-1.919129176,-0.90836301,0.95,mode,hdi,
Lepidoptera.B - Diptera.B,-1.430178681,-2.032910116,-0.905431443,0.95,mode,hdi,1
Lepidoptera.B - Diptera.C,-0.93621685,-1.48916006,-0.409110946,0.95,mode,hdi,
Lepidoptera.B - Diptera.D,-1.144450709,-1.84576117,-0.539557528,0.95,mode,hdi,
Lepidoptera.B - Diptera.E,-1.960237004,-2.606585149,-1.411391685,0.95,mode,hdi,
Lepidoptera.B - Hymenoptera.A,-0.452162224,-0.99380209,0.064297585,0.95,mode,hdi,
Lepidoptera.B - Hymenoptera.B,-1.241072193,-1.835422203,-0.688476565,0.95,mode,hdi,1
Lepidoptera.B - Hymenoptera.C,-0.262685789,-0.846897109,0.224562751,0.95,mode,hdi,
Lepidoptera.B - Hymenoptera.D,0.035789573,-0.738413156,1.008682585,0.95,mode,hdi,
Lepidoptera.B - Hymenoptera.E,-0.197630426,-0.973468575,0.537455925,0.95,mode,hdi,
Lepidoptera.B - Lepidoptera.A,-0.505410616,-1.02078359,0.036133656,0.95,mode,hdi,
Lepidoptera.C - Lepidoptera.A,-0.162762444,-0.516175137,0.155250571,0.95,mode,hdi,
Lepidoptera.C - Lepidoptera.B,0.240149949,-0.205037546,0.851692819,0.95,mode,hdi,
Lepidoptera.E - Lepidoptera.A,0.181841866,-0.368482077,0.669123623,0.95,mode,hdi,
Lepidoptera.E - Lepidoptera.B,0.614115051,-0.030212157,1.321991788,0.95,mode,hdi,
Lepidoptera.E - Lepidoptera.C,0.338652138,-0.218664223,0.820780735,0.95,mode,hdi,
Lepidoptera.E - Lepidoptera.D,0.208744708,-0.520927878,0.909581547,0.95,mode,hdi,
Lepidoptera.D - Lepidoptera.A,-0.000512625,-0.631809049,0.565166085,0.95,mode,hdi,
Lepidoptera.D - Lepidoptera.B,0.45631527,-0.301512253,1.193640029,0.95,mode,hdi,
Lepidoptera.D - Lepidoptera.C,0.123938674,-0.450255014,0.723169219,0.95,mode,hdi,
Lepidoptera.C - Bee.A,-1.217770361,-1.548947281,-0.964944091,0.95,mode,hdi,
Lepidoptera.C - Bee.B,-1.028235775,-1.430429779,-0.64204349,0.95,mode,hdi,
Lepidoptera.C - Bee.C,-1.429590521,-1.697628734,-1.119976536,0.95,mode,hdi,1
Lepidoptera.C - Bee.D,-1.510753664,-1.942154429,-1.059368592,0.95,mode,hdi,
Lepidoptera.C - Bee.E,-0.463499213,-0.95906889,0.040535151,0.95,mode,hdi,
Lepidoptera.C - Coleoptera.A,-0.078732503,-0.343164885,0.298553396,0.95,mode,hdi,
Lepidoptera.C - Coleoptera.B,-0.315878187,-0.742514628,0.154245055,0.95,mode,hdi,
Lepidoptera.C - Coleoptera.C,-0.446781361,-0.827673333,-0.161554063,0.95,mode,hdi,1
Lepidoptera.C - Coleoptera.D,0.089994355,-0.713730049,1.077980319,0.95,mode,hdi,
Lepidoptera.C - Coleoptera.E,0.638842868,-0.12117905,1.820801591,0.95,mode,hdi,
Lepidoptera.C - Diptera.A,-1.091722609,-1.36868721,-0.791523851,0.95,mode,hdi,
Lepidoptera.C - Diptera.B,-1.139321877,-1.567419273,-0.789729795,0.95,mode,hdi,
Lepidoptera.C - Diptera.C,-0.607154785,-0.931715291,-0.308394219,0.95,mode,hdi,1
Lepidoptera.C - Diptera.D,-0.832140485,-1.291891107,-0.288230185,0.95,mode,hdi,
Lepidoptera.C - Diptera.E,-1.689165949,-2.132623453,-1.283082156,0.95,mode,hdi,
