Date,Site,Tree.spp,Time,Ochetellus.glaber,Nylanderia.sp,Tetramorium.grassii,Technomyrmex.jocosus,Iridomyrmex.sulcheri,Monomorium.smithii,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Lassioglossum,Bombus,Cerembycidae,Mordella.sp,Trogoderma._beetle,Curculionoidea ,Staphylinidae,Coleoptera,Odonata,Aranae,Diptera,Lycaena.salustius,Zizina.labradus,Piers.rapae,Lepidoptera,Polistes.chinensis,Vespula.vulgaris,Orthoptera,Anicotrocerus.gazella,Hymenopetra,Icheumonidae,Blattodea
2/11/16,Karekare,Lupinus arboreus,15:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/02/17,Karekare,Lupinus arboreus,13:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/16,Karekare,Lupinus arboreus,10:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/16,Karekare,Lupinus arboreus,15:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/02/17,Karekare,Lupinus arboreus,14:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/16,Karekare,Lupinus arboreus,10:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/16,Karekare,Lupinus arboreus,14:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/11/16,Karekare,Lupinus arboreus,15:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/11/16,Karekare,Lupinus arboreus,15:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/02/17,Karekare,Lupinus arboreus,11:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
